id,story_type,story_title,story_text
1,invention,The newest Product,COMPANY- has just revealed their newest addition. The amazing -ASSET-.
2,invention,Wow. What a Product,The -ASSET- is hitting the market at maximum velocity.
3,conference,Big Statements are coming,Recent -COMPANY- scandals to be cleared up in the upcoming press conference.
4,slander,The Devils Lettuce,COMPANY- CEO spotted on Ratsteins Island smoking a Joint.
5,slander,Horrifying News,COMPANY- tests products on infant Marsupials
6,slander,Studies show,The new -ASSET- causes Cancer. -COMPANY- yet to release statement
7,slander,Is anyone safe?,Macroplastic found in -COMPANY- CEOs Sperm.
8,good,Goodhearted People,COMPANY- shipping crates full of Vodka Energy to feed starving children.
9,good,A good Capitalist,COMPANY- swears they are going to pay child workers in candy.
10,good,Another Mate,New Mate dropped. -COMPANY- appealing to the youth with vape flavoured drink.
11,drink,FUCK YES,COMPANY- is paying for Drinks
12,crash,Market Crash,New Research found metals to cause Cancer. -CATEGORY- companies are suffering.
13,crash,Market Crash,CATEGORY- companies expected to drop massively after new child disease pandemic.
14,crash,Market Crash,CATEGORY- companies have lost trust in the public eyes. Too many Rat potions.
15,slander,The Audacity,COMPANY- promised Pizza and didn't deliver. Brought vegan Chicken Nuggets instead.
16,slander,Think of the Shareholders,COMPANY- are planning to focus on Customer Experience INSTEAD of Yearly Profits.
